Title of Work,Title of Work (AI check),Author Full Name,Author Full Name (AI Check),"Authorship Type (single, co-author, etc.)",Birth-Death Years of Author(s)/Creator(s),Canonical/Scholarly Translation (Best Overall),Best Public Domain Translation,Complementary/Poetic/Alternative Translation,Top 3 Scholarly Translations (Consolidated),Editor(s)/Compiler(s),Edition Integrity,Peer Review/Canonical Status,Year of Original Publication (canonical),Year of Original Publication (AI check),Language of Origin (AI suggestion),Language of Origin (Linked),Language of This Edition/Publication,Summary Abstract,Cultural Origin (Civilizational root),Tradition / Lineage (Canon-level streams),Geographic Context (Place of composition/use),Historical Era,Publisher/Imprint,Place of Publication,Medium of Expression,Form/Genre,Primary Domain,Primary Subdomain(s),Subdomain Confidence,Other Primary Domains,Other Subdomains,Scale/Level Focus,ITQ Emphasis (where the work speaks from),ITQ Deficit Treated (what the work helps strengthen),ITQ Practice (what it invites the reader to do),SD Digestible For (best audience fit now),SD Bridge Move,SD Contraindication (allergic reaction),Kegan Order Best-Fit,Kegan Likely Move,SDT Needs Targeted,SDT Guidance Style,Author Positionality (Self-description/stance),Diaspora / Transcultural Status,Epistemic Mode(s)/Ways of Knowing,Evidence Base,Rigor/Evidence Strength,Ontological Stance,Cosmology,Ethical Orientation,Political-Economy Lens,Themes/Concepts,Key Words,Core Challenges Addressed,Key Questions,Proposed Orientations,Archetypes/Motfis,Metaphors/Imagery,Predecessors/Sources,Successors/Influenced Works,Dialogues/Contradictions,Opposing Work(s),Sibling/Parallel Works,Related Movements/Schools,Practice Modalities,Application Domains,Coaching & Therapeutic Use Cases,Cautions/Contraindications,More-than-Human Orientation,Intended Audience,Difficulty/Density,Tone/Style,Cultural Accessibility Notes,Length,Illustrations/Diagrams,Models/Frameworks,Media Type,File Type,Primary Links,Availability,Identifiers,Rights/License,Copyright Holder,Copyright Expiration,Jurisdiction,Source Provenance,Source Link (AI),Node ID,Embedding Vector ID(s),Entities Extracted,Coverage Map,Granularity Prepared,Auto-Tag Confidence,Curator(s),Curation Date,Validation Status,Evidence Claims/Audit,Key Quotations,Languages copy,Row #,Editions
Artificial Unintelligence: How Computers Misunderstand the World (Reprint),,Meredith Broussard,,,,,,,,,,,44562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,9183,
The Need to Be Whole: Patriotism and the History of Prejudice,,Wendell Berry,,,,,,,,,,,2022,,,,,,,,,,,,,,"Society, Politics, Law & Economics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,9184,
The Craving Mind,,Judson Brewer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,9185,
Our Final Warning: Six Degrees of Climate Emergency,,Mark Lynas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,9186,
The Aesthetics of Unscenic Nature: Complex Systems Perspectives,,Yuriko Saito,,,,,,,,,,,2017,,,,,,,,,,,,,,"Literature, Art & Aesthetics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Japanese/English,9187,
Minos,,Plato,,,,,,,,,,,0,,,,,,,,,,,,,,"Society, Politics, Law & Economics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Ancient Greek,9188,
"Kumarbi Cycle (Song of Kumarbi, Song of Ullikummi)",,Anonymous (Court singers),,,,,,,,,,,0,,,,,,,,,,,,,,"Religion, Spirituality & Myth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Hittite/Hurrian,9189,
Redburn,,Herman Melville,,,,,,,,,,,1849,,,,,,,,,,,,,,"Literature, Art & Aesthetics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Maritime Novel,9190,
A Total Filmmaker,,Agnieszka Holland,,,,,,,,,,,2020,,,,,,,,,,,,,,"Literature, Art & Aesthetics",,,"""Society, Politics, Law & Economics"",Philosophy & Ethics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Polish,9191,
Cicero's Letters to Atticus,,Marcus Tullius Cicero,,,,,,,,,,,68,,,,,,,,,,,,,,"Society, Politics, Law & Economics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Letters,9192,
Interaction: The Inside Story of Social Apps & Attention,,Sarah Frier,,,,,,,,,,,45505,,,,,,,,,,,,,,"Society, Politics, Law & Economics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,9193,
The Virtue of Selfishness,,Ayn Rand,,,,,,,,,,,1964,,,,,,,,,,,,,,Philosophy & Ethics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,9194,
“Utu and the Future of Flourishing” (Essay + Series),,Wangũi wa Kamonji,,,,,,,,,,,20212024,,,,,,,,,,,,,,Ecology & Deep Ecology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,9195,
Confessiones (Confessions),,Augustine of Hippo,,,,,,,,,,,397400,,,,,,,,,,,,,,"Religion, Spirituality & Myth","Transpersonal & Altered States,Depth & Archetypal Psychology",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Latin,9196,
No-Report Paradigms in Consciousness Research,,Naotsugu Tsuchiya,,,,,,,,,,,2019,,,,,,,,,,,,,,"Consciousness, Mind & Psychology","Neuroscience of Mind,Cognitive & Affective Sciences",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Japanese/English,9197,
Mieses Karma hoch 2,,David Safier,,,,,,,,,,,2009,,,,,,,,,,,,,,"Literature, Art & Aesthetics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,German,9198,
A Manual for Cleaning Women: Selected Stories,,Lucia Berlin,,,,,,,,,,,2015,,,,,,,,,,,,,,"Literature, Art & Aesthetics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,9199,
The Birds and Other Plays,,Aristophanes,,,,,,,,,,,5,,,,,,,,,,,,,,"Literature, Art & Aesthetics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,9200,
Attention Seeking,,Adam Phillips,,,,,,,,,,,2019,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,9201,
The Economic Dimensions of Middle East Conflicts,,Nader Habibi,,,,,,,,,,,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,9202,
The Time Paradox,,Philip Zimbardo,,,,,,,,,,,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,9203,
Space Invaders,,Nona Fernández,,,,,,,,,,,2013,,,,,,,,,,,,,,"Literature, Art & Aesthetics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Spanish,9204,
Feminine Psychology,,Karen Horney,,,,,,,,,,,1967,,,,,,,,,,,,,,"Consciousness, Mind & Psychology","Developmental & Social Psychology,Depth & Archetypal Psychology",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,9205,
The Formula: The Universal Laws of Success,,Albert-László Barabási,,,,,,,,,,,2018,,,,,,,,,,,,,,Systems Thinking & Complexity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,9206,
The Drinking Den (L'Assommoir),,Émile Zola,,,,,,,,,,,1877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Novel,9207,
The Let Them Theory,,"Mel Robbins, Sawyer Robbins",,,,,,,,,,,2025,,,,,,,,,,,,,,Personal Development & Well-Being,Positive Psychology & Human Potential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,9208,
Prietita Has a Friend/Prietita tiene un amigo,,Gloria Evangelina Anzaldúa,,,,,,,,,,,1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English/Spanish,9209,
Quid Aristoteles de loco senserit,,Henri Bergson,,,,,,,,,,,1889,,,,,,,,,,,,,,Philosophy & Ethics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Latin,9210,
Penelope (Solo-show script),,Ellen McLaughlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,9211,
Critique of Pure Reason,,Immanuel Kant,,,,,,,,,,,1781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Treatise,9212,
Karma: A Yogi's Guide to Crafting Your Destiny,,Jaggi Vasudev (Sadhguru),,,,,,,,,,,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English/Tamil,9213,
A Teologia do Corpo: Espiritualidade Encarnada,,Rubem Alves,,,,,,,,,,,2020,,,,,,,,,,,,,,"Religion, Spirituality & Myth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Portuguese,9214,
Zen Bridge: The Zen Teachings of Keido Fukushima,,Keido Fukushima,,,,,,,,,,,2018,,,,,,,,,,,,,,"Religion, Spirituality & Myth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Japanese/English,9215,
"Playing Big: Practical Wisdom for Women Who Want to Speak Up, Create, and Lead",,Tara Mohr,,,,,,,,,,,2014,,,,,,,,,,,,,,Personal Development & Well-Being,Positive Psychology & Human Potential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,9216,
The Winter of Our Discontent,,John Steinbeck,,,,,,,,,,,1961,,,,,,,,,,,,,,"Literature, Art & Aesthetics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Novel,9217,
How to Be Yourself,,Ellen Hendriksen,,,,,,,,,,,2018,,,,,,,,,,,,,,"Consciousness, Mind & Psychology","Psychotherapy & Counseling Modalities,Positive Psychology & Human Potential",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,9218,
African Cinema: The Voice of a Continent,,Gaston Kaboré,,,,,,,,,,,2020,,,,,,,,,,,,,,"Literature, Art & Aesthetics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,French/Mooré,9219,
Spouse,,Shobhaa Dé,,,,,,,,,,,2005,,,,,,,,,,,,,,"Family, Love & Relationships","Developmental & Social Psychology,Positive Psychology & Human Potential",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,9220,
Laws,,Plato,,,,,,,,,,,0,,,,,,,,,,,,,,"Society, Politics, Law & Economics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Ancient Greek,9221,
Lines from a Mined Mind,,John Trudell,,,,,,,,,,,2008,,,,,,,,,,,,,,"Literature, Art & Aesthetics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,9222,
Climate Change and Complex Systems: New Zealand's Response to Global Warming,,Dave Frame,,,,,,,,,,,2019,,,,,,,,,,,,,,Systems Thinking & Complexity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,9223,
Selected Poems,,Jalal al-Din Rumi,,,,,,,,,,,13,,,,,,,,,,,,,,"Religion, Spirituality & Myth","Transpersonal & Altered States,Depth & Archetypal Psychology",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,9224,
Straight Talk on Trade,,Dani Rodrik,,,,,,,,,,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,9225,
The Mysteries of Udolpho,,Ann Radcliffe,,,,,,,,,,,1794,,,,,,,,,,,,,,"Literature, Art & Aesthetics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Gothic Novel,9226,
The New Spirit of Capitalism,,Eve Chiapello and Luc Boltanski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,9227,
Screaming on the Inside: The Unsustainability of American Motherhood,,Jessica Grose,,,,,,,,,,,45352,,,,,,,,,,,,,,"Family, Love & Relationships",Developmental & Social Psychology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,9228,
A Theology of Liberation: 50th Anniversary Edition,,Gustavo Gutiérrez,,,,,,,,,,,2021,,,,,,,,,,,,,,"Religion, Spirituality & Myth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Spanish/English,9229,
The Vanishing Half,,Brit Bennett,,,,,,,,,,,2020,,,,,,,,,,,,,,"Literature, Art & Aesthetics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,9230,
The Soul of Money,,Lynne Twist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,9231,
Glauben und Wissen (Faith and Knowledge),,Jürgen Habermas,,,,,,,,,,,2001,,,,,,,,,,,,,,Philosophy & Ethics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,German,9232,
Tahafut al-Tahafut (The Incoherence of the Incoherence),,Abu al-Walid Muhammad ibn Rushd (Averroes),,,,,,,,,,,1180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Arabic,9233,
Devotions,,Mary Oliver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,9234,
A Little History of the World,,E. H. Gombrich,,,,,,,,,,,1936,,,,,,,,,,,,,,"Culture, Language & Anthropology",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,9235,
Charmides,,Plato,,,,,,,,,,,0,,,,,,,,,,,,,,Philosophy & Ethics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Ancient Greek,9236,
The Zen of Therapy,,Mark Epstein,,,,,,,,,,,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,9237,
Loving/Living/Party Going,,Henry Green,,,,,,,,,,,1929,,,,,,,,,,,,,,"Literature, Art & Aesthetics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,9238,
The Complete Tarot Kit,,Andy Todd,,,,,,,,,,,2025,,,,,,,,,,,,,,"Religion, Spirituality & Myth","Depth & Archetypal Psychology,Transpersonal & Altered States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,9239,
Love of the Two-Armed Form: The Free and Regenerative Function of Sexuality in Ordinary Life and the Transcendence of Sexuality in True Religious or Spiritual Practice,,"Franklin Albert Jones (Bubba Free John, Da Free John, Adi Da Samraj)",,,,,,,,,,,1978,,,,,,,,,,,,,,"Religion, Spirituality & Myth",Transpersonal & Altered States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,9240,
Law and Disorder: Confessions of a Pupil Barrister,,The Secret Barrister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,9241,
Voices of Eritrean Refugees (radio + transcript archives),,Meron Estefanos,,,,,,,,,,,20112022,,,,,,,,,,,,,,"Society, Politics, Law & Economics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English / Tigrinya,9242,
He Whaipaanga Hou – Māori and the Criminal Justice System,,Moana Jackson,,,,,,,,,,,1988,,,,,,,,,,,,,,"Society, Politics, Law & Economics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,9243,
The Forest,,Satoshi Kitamura,,,,,,,,,,,2019,,,,,,,,,,,,,,"Literature, Art & Aesthetics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Japanese,9244,
The Earliest English Poems,,Various,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Poetry Collection,9245,
Edicts of Ashoka,,Ashoka,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Prakrit/Greek/Aramaic,9246,
The Great Gatsby,,F. Scott Fitzgerald,,,,,,,,,,,1925,,,,,,,,,,,,,,"Literature, Art & Aesthetics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,9247,
Pedagogisch Optimisme,,Luc Stevens,,,,,,,,,,,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Dutch,9248,
The Real News About Fake News,,Darwin BondGraham,,,,,,,,,,,2017,,,,,,,,,,,,,,"Society, Politics, Law & Economics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,9249,
Chronicles,,Jean Froissart,,,,,,,,,,,1369,,,,,,,,,,,,,,"Society, Politics, Law & Economics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Historical Chronicle,9250,
Appointment in Samarra,,John O'Hara,,,,,,,,,,,1934,,,,,,,,,,,,,,"Literature, Art & Aesthetics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Novel,9251,
Diaries of the Revolution’s Clown (Arabic blog-to-book),,Belal Fadl,,,,,,,,,,,2014,,,,,,,,,,,,,,"Community Organizing, Civic Action & Democracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Arabic,9252,
The Spirituality of Imperfection,,Katherine Ketcham,,,,,,,,,,,1992,,,,,,,,,,,,,,"Religion, Spirituality & Myth","Transpersonal & Altered States,Depth & Archetypal Psychology",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,9253,
The Imaginary Institution of Society,,Cornelius Castoriadis,,,,,,,,,,,1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,French,9254,
How People Get Power,,Si Kahn,,,,,,,,,,,1970,,,,,,,,,,,,,,"Community Organizing, Civic Action & Democracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,9255,
Navigating the Stars: Māori Creation Myths,,Witi Ihimaera,,,,,,,,,,,2020,,,,,,,,,,,,,,"Religion, Spirituality & Myth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English/Te Reo Māori,9256,
Paula,,Isabel Allende,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Spanish,9257,
The Girl Who Kicked the Hornets' Nest,,Stieg Larsson,,,,,,,,,,,2007,,,,,,,,,,,,,,"Literature, Art & Aesthetics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Swedish,9258,
A Man Called Ove,,Fredrik Backman,,,,,,,,,,,2012,,,,,,,,,,,,,,"Literature, Art & Aesthetics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Swedish,9259,
The Third Man,,Graham Greene,,,,,,,,,,,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,9260,
